"","plot","year","n_species","abundance"
"1","FAE_1","2008",12,52
"2","FAE_1","2009",13,20
"3","FAE_1","2010",11,24
"4","FAE_1","2011",25,43
"5","FAE_11","2008",28,94
"6","FAE_11","2009",34,110
"7","FAE_11","2010",23,90
"8","FAE_11","2011",17,38
"9","FAE_16","2008",27,125
"10","FAE_16","2009",18,43
"11","FAE_16","2010",14,59
"12","FAE_16","2011",17,54
"13","FAE_18","2008",27,123
"14","FAE_18","2009",20,84
"15","FAE_18","2010",13,17
"16","FAE_18","2011",7,7
"17","FAE_2","2008",28,115
"18","FAE_2","2009",21,55
"19","FAE_2","2010",21,62
"20","FAE_2","2011",16,25
"21","FAE_21","2008",33,214
"22","FAE_21","2009",11,48
"23","FAE_21","2010",16,30
"24","FAE_21","2011",14,40
"25","FAE_24","2008",21,104
"26","FAE_24","2009",21,51
"27","FAE_24","2010",19,55
"28","FAE_24","2011",19,33
"29","FAE_3","2008",26,50
"30","FAE_3","2009",14,31
"31","FAE_3","2010",24,79
"32","FAE_3","2011",22,64
"33","FAE_4","2008",19,51
"34","FAE_4","2009",28,85
"35","FAE_4","2010",10,17
"36","FAE_4","2011",16,34
"37","FAE_7","2008",28,116
"38","FAE_7","2009",23,117
"39","FAE_7","2010",21,232
"40","FAE_7","2011",17,33
"41","FAE_9","2008",35,119
"42","FAE_9","2009",27,156
"43","FAE_9","2010",9,10
"44","FAE_9","2011",18,96
"45","FKN_1","2008",31,86
"46","FKN_1","2009",22,106
"47","FKN_1","2010",20,91
"48","FKN_1","2011",22,64
"49","FKN_12","2008",19,41
"50","FKN_12","2009",3,7
"51","FKN_12","2010",12,14
"52","FKN_12","2011",7,13
"53","FKN_14","2008",33,94
"54","FKN_14","2009",32,123
"55","FKN_14","2010",14,29
"56","FKN_14","2011",22,62
"57","FKN_15","2008",35,136
"58","FKN_15","2009",39,284
"59","FKN_15","2010",37,246
"60","FKN_15","2011",24,74
"61","FKN_4","2008",24,53
"62","FKN_4","2009",26,73
"63","FKN_4","2010",14,14
"64","FKN_4","2011",17,33
"65","FKN_5","2008",27,103
"66","FKN_5","2009",28,219
"67","FKN_5","2010",14,82
"68","FKN_5","2011",31,109
"69","FKO_4","2008",33,86
"70","FKO_4","2009",27,111
"71","FKO_4","2010",31,72
"72","FKO_4","2011",17,60
"73","FKO_6","2008",25,65
"74","FKO_6","2009",18,39
"75","FKO_6","2010",11,43
"76","FKO_6","2011",17,88
"77","LAO_3","2008",13,20
"78","LAO_3","2009",34,362
"79","LAO_3","2010",24,336
"80","LAO_3","2011",42,1786
"81","LAW_18","2008",21,89
"82","LAW_18","2009",38,228
"83","LAW_18","2010",9,20
"84","LAW_18","2011",22,119
"85","LAW_5","2008",22,50
"86","LAW_5","2009",33,296
"87","LAW_5","2010",38,302
"88","LAW_5","2011",22,95
